,Segment ID,Roadway Name,From,To,From Lat,From Lon,To Lat,To Lon
212,56117,KEW GARDENS ROAD,80 ROAD,UNION TURNPIKE,40.7136063,-73.8303652,40.7141088,-73.83113929999999
213,56804, VAN WYCK EXPRESSWAY , 102 AVENUE  ,W 232nd ST,40.6934308,-73.8110363,40.7016578,-73.8165835
214,56878, ARCHER AVE, 143 STREET  , 144 PLACE  ,40.6995881,-73.8106061,40.6998476,-73.8097263
215,56994, LIBERTY AVE, BRISBIN STREET  , LLOYD ROAD  ,40.6936458,-73.80747389999999,40.6935391,-73.8077813
216,57167,LAKEWOOD AVE,INWOOD STREET,LIVERPOOL STREET,40.690019,-73.803232,40.6916783,-73.8017742
217,57188, WALTHAM STREET , 101 AVE , LIBERTY AVE,40.6957187,-73.8057488,40.6954179,-73.8052951
218,57189, 101 AVE , 146 STREET  , WALTHAM STREET ,40.69594970000001,-73.8049766,40.6957187,-73.8057488
219,57192, LIBERTY AVE, 101 AVE , WALTHAM STREET ,40.6960651,-73.8046789,40.6954179,-73.8052951
220,62171,CENTRAL AVE,SAGE ST,VIRGINIA ST,40.6094198,-73.74612820000002,40.6096607,-73.74559099999999
221,64564, LINDEN BLVD , 198 STREET  , 199 STREET  ,40.693971,-73.753958,40.694213,-73.753086
222,65634,CROSS ISLAND PKWY SR, 107 AVENUE  , 115 AVENUE  ,40.7076714,-73.7279768,40.6971885,-73.72751769999999
223,65745,HUNGRY HARBOR RD,148th ST,262nd PL,40.654142,-73.72638429999999,40.6536263,-73.7253606
224,66883,MAURICE AVE,55th DR,56th DR,40.7260554,-73.90892099999999,40.7241852,-73.9113462
225,67724,39th ST,NORTHERN BLVD,SKILLMAN AVE,40.7523729,-73.9244137,40.7474268,-73.9254785
226,67971,48th ST,37th AVE,NORTHERN BLVD,40.7511787,-73.9151985,40.7536463,-73.9145175
227,69154,8 AVE  , WEST 147 ST , WEST 148 ST ,40.8241399,-73.940969,40.8247553,-73.9405156
228,69185,3 AVE  , EAST 123 ST  , EAST 124 ST  ,40.8023937,-73.936767,40.8030321,-73.936328
229,69276,2 AVE  , EAST 124 ST  , EAST 123 ST ,40.8019702,-73.93416479999999,40.8014576,-73.9345403
